"","SYMBOL","ENTREZID"
"1","CD36","948"
"2","DUSP6","1848"
"3","DCT","1638"
"4","SPRY2","10253"
"5","MOXD1","26002"
"6","ETV4","2118"
"7","ETV5","2119"
"8","ST6GALNAC2","10610"
"9","DTL","51514"
"10","NUPR1","26471"
"11","LDLR","3949"
"12","SPRY4","81848"
"13","FST","10468"
"14","TXNIP","10628"
"15","CCND1","595"
"16","IER3","8870"
"17","SERPINF1","5176"
"18","FAM111B","374393"
"19","CD24","100133941"
"20","RNF150","57484"
"21","SCRG1","11341"
"22","SESN3","143686"
"23","MR1","3140"
"24","TGFA","7039"
"25","NT5E","4907"
"26","CEMIP","57214"
"27","TRPM3","80036"
"28","SLCO4A1","28231"
"29","ITGB3","3690"
"30","UBASH3B","84959"
"31","CCNE2","9134"
"32","MCM10","55388"
"33","IGFBP5","3488"
"34","LSAMP","4045"
"35","CCN3","4856"
"36","SLC20A1","6574"
"37","LCTL","197021"
"38","CDC25A","993"
"39","TLR4","7099"
"40","CLSPN","63967"
"41","ANK3","288"
"42","RRM2","6241"
"43","AZGP1","563"
"44","JUN","3725"
"45","PCDH10","57575"
"46","SNAI2","6591"
"47","ARHGEF37","389337"
"48","AOAH","313"
"49","TCP11L2","255394"
"50","SFRP1","6422"
"51","SEMA3C","10512"
"52","CDCA5","113130"
"53","AMIGO2","347902"
"54","KIAA0040","9674"
"55","MIR221","407006"
"56","TRAK1","22906"
"57","LRATD2","157638"
"58","LRP1B","53353"
"59","SH3TC2","79628"
"60","RASGRP1","10125"
"61","AHNAK2","113146"
"62","H2BC3","3018"
"63","SOX2","6657"
"64","SCUBE3","222663"
"65","SCG5","6447"
"66","PRUNE2","158471"
"67","AREG","374"
"68","TCN1","6947"
"69","BMF","90427"
"70","CDC45","8318"
"71","H1-5","3009"
"72","ADHFE1","137872"
"73","SH2D1B","117157"
"74","TUBA1A","7846"
"75","FOLR1","2348"
"76","CNTN1","1272"
"77","LEMD1","93273"
"78","SLC38A3","10991"
"79","IFITM10","402778"
"80","TMEM198B","440104"
"81","IFI44L","10964"
"82","FAXDC2","10826"
"83","MEF2C","4208"
"84","RARB","5915"
"85","ADAMTS15","170689"
"86","GASK1B","51313"
"87","LINC00518","221718"
"88","TENM3","55714"
"89","MRGPRX4","117196"
"90","EXO1","9156"
"91","PBX1","5087"
"92","SLC16A4","9122"
"93","TIMP3","7078"
"94","ZNF608","57507"
"95","ATAD2","29028"
"96","SH2B3","10019"
"97","SEMA6A","57556"
"98","E2F7","144455"
"99","INPP5F","22876"
"100","NPAS2","4862"
"101","TFAP2C","7022"
"102","ORC1","4998"
"103","GAS6-AS1","650669"
"104","PDE5A","8654"
"105","MAF","4094"
"106","ANKFN1","162282"
"107","LOC100128288","100128288"
"108","EPHA5","2044"
"109","ZEB2","9839"
"110","ATL1","51062"
"111","THBS3","7059"
"112","FYB1","2533"
"113","FHDC1","85462"
"114","MCC","4163"
"115","JAKMIP2","9832"
"116","COL21A1","81578"
"117","ANKRD44","91526"
"118","MGP","4256"
"119","SELENOP","6414"
"120","PDZRN3","23024"
"121","SLAIN1","122060"
"122","POLE2","5427"
"123","PHC2","1912"
"124","ZNF536","9745"
"125","CYB5R2","51700"
"126","ERV3-1","2086"
"127","KAT2B","8850"
